	Locus	prob	log10(PO)	qval	alpha	fst
1	Locus_1	0.010202	-1.98686	0.979089	0.0020024	0.0081484
2	Locus_2	0.0088018	-2.0516	0.9848	-0.00032457	0.0081301
3	Locus_3	0.015403	-1.8057	0.88043	0.011522	0.0083322
4	Locus_4	0.0088018	-2.0516	0.9848	-0.0018888	0.0081069
5	Locus_5	0.016003	-1.7888	0.86897	0.015157	0.008452
6	Locus_6	0.0076015	-2.1158	0.9865	-0.0044696	0.0080902
7	Locus_7	0.0086017	-2.0617	0.98524	-0.0011349	0.0081095
8	Locus_8	0.0080016	-2.0933	0.98615	-0.0049441	0.0080821
9	Locus_9	0.0078016	-2.1044	0.98634	-0.00039094	0.0081194
10	Locus_10	0.010202	-1.9869	0.97909	-0.0043795	0.0080955
11	Locus_11	0.0096019	-2.0135	0.98232	0.0016754	0.0081503
12	Locus_12	0.0078016	-2.1044	0.98634	-0.0020504	0.0081121
13	Locus_13	0.0096019	-2.0135	0.98232	-0.0002327	0.0081211
14	Locus_14	0.010402	-1.9783	0.97742	0.0046447	0.0082121
15	Locus_15	0.0078016	-2.1044	0.98634	-0.0005208	0.008122
16	Locus_16	0.010602	-1.97	0.97573	-0.0023437	0.0081029
17	Locus_17	0.0084017	-2.072	0.98559	-0.00045504	0.0081237
18	Locus_18	0.0078016	-2.1044	0.98634	0.0015763	0.0081289
19	Locus_19	0.010402	-1.9783	0.97742	0.0022419	0.0081623
20	Locus_20	0.011002	-1.9537	0.97113	-0.0027189	0.0081203
21	Locus_21	0.0086017	-2.0617	0.98524	-0.0025388	0.0081048
22	Locus_22	0.011402	-1.938	0.96541	-0.00017789	0.0081753
23	Locus_23	0.0086017	-2.0617	0.98524	0.00044896	0.0081356
24	Locus_24	0.0084017	-2.072	0.98559	-0.0048952	0.0080862
25	Locus_25	0.010002	-1.9955	0.98046	-0.0018886	0.0081118
26	Locus_26	0.013603	-1.8604	0.91352	0.0085191	0.0082993
27	Locus_27	0.0076015	-2.1158	0.9865	-0.0023577	0.0081215
28	Locus_28	0.0074015	-2.1275	0.98663	-0.0043441	0.0080953
29	Locus_29	0.011202	-1.9458	0.96841	0.0051575	0.008203
30	Locus_30	0.0094019	-2.0227	0.98313	-0.00026573	0.0081348
31	Locus_31	0.0092018	-2.0321	0.98375	0.0027628	0.0081685
32	Locus_32	0.010802	-1.9618	0.97379	-0.0015032	0.008123
33	Locus_33	0.012803	-1.8871	0.935	0.0068498	0.0082848
34	Locus_34	0.0090018	-2.0417	0.98432	-0.0029571	0.0081045
35	Locus_35	0.0084017	-2.072	0.98559	-0.0017666	0.0081048
36	Locus_36	0.010802	-1.9618	0.97379	-0.0036241	0.0081072
37	Locus_37	0.0088018	-2.0516	0.9848	0.0025843	0.0081609
38	Locus_38	0.010002	-1.9955	0.98046	-0.0040733	0.0080957
39	Locus_39	0.010002	-1.9955	0.98046	-0.0027893	0.008104
40	Locus_40	0.010402	-1.9783	0.97742	-0.0012918	0.0081214
41	Locus_41	0.0080016	-2.0933	0.98615	-0.0015897	0.008116
42	Locus_42	0.0058012	-2.234	0.98697	-0.00061617	0.0081059
43	Locus_43	0.75315	0.48445	0.064813	1.459	0.045783
44	Locus_44	0.0092018	-2.0321	0.98375	0.00089565	0.0081287
45	Locus_45	0.010002	-1.9955	0.98046	0.0068431	0.0082504
46	Locus_46	0.0082016	-2.0825	0.98589	-0.0028575	0.0081097
47	Locus_47	0.011402	-1.938	0.96541	0.0004006	0.0081508
