	Locus	prob	log10(PO)	qval	alpha	fst
1	cgpGmo-S1075	0.00660132	-2.17749	0.838573	0.0011681	0.016711
2	cgpGmo-S49	0.039608	-1.3847	0.41879	0.035968	0.017626
3	cgpGmo-S1231	0.13663	-0.80066	0.12597	-0.25037	0.014872
4	cgpGmo-S638a	0.0094019	-2.0227	0.78829	-0.0075093	0.016608
5	cgpGmo-S1341	0.026205	-1.5701	0.54653	-0.029985	0.016414
6	cgpGmo-S2134	0.015803	-1.7943	0.69046	0.011087	0.017012
7	cgpGmo-S205	0.010202	-1.9869	0.77278	-0.0060412	0.01663
8	Gm370_0380	0.016003	-1.7888	0.68722	-0.01353	0.01655
9	cgpGmo-S120	0.0038008	-2.4185	0.87267	-0.00071691	0.016673
10	cgpGmo-S119b	0.94659	1.2485	0.0032446	1.2024	0.053902
11	cgpGmo-S807	0.004801	-2.3166	0.86756	0.00064841	0.016701
12	cgpGmo-S241	0.0060012	-2.2191	0.85079	-0.0013567	0.016675
13	cgpGmo-S717	0.012002	-1.9155	0.75379	-0.010774	0.016577
14	cgpGmo-S955	0.015803	-1.7943	0.69046	-0.014106	0.016555
15	cgpGmo-S1843	0.0060012	-2.2191	0.85079	-0.0031086	0.016648
16	cgpGmo-S1045	0.0064013	-2.1909	0.84273	0.001797	0.016728
17	Gm392_1244	0.005001	-2.2988	0.86553	0.00018652	0.016686
18	cgpGmo-S945a	0.0086017	-2.0617	0.80339	-0.005661	0.016625
19	cgpGmo-S2095	1	1000	0	3.0844	0.2178
20	cgpGmo-S603	1	1000	0	2.113	0.11016
21	cgpGmo-S479	0.85037	0.75459	0.0081912	1.1416	0.053376
22	cgpGmo-S1435	0.25985	-0.45459	0.077692	0.29304	0.025018
23	cgpGmo-S741	0.0092018	-2.0321	0.79264	-0.0035197	0.016675
24	cgpGmo-S1742	0.0094019	-2.0227	0.78829	0.0042327	0.016784
25	cgpGmo-S1520	0.005201	-2.2816	0.86313	-0.0023711	0.01665
26	cgpGmo-S331a	0.0076015	-2.1158	0.81972	0.0011014	0.016709
27	cgpGmo-S162	0.069814	-1.1246	0.23735	-0.10477	0.015857
28	Gm0927_0134	0.0066013	-2.1775	0.83857	-0.0035679	0.016647
29	cgpGmo-S2136	0.0076015	-2.1158	0.81972	-0.00096361	0.016695
30	cgpGmo-S2130	0.010002	-1.9955	0.7749	0.0064698	0.016852
31	cgpGmo-S2220	0.010402	-1.9783	0.76975	-0.0048916	0.016634
32	cgpGmo-S1947	0.0078016	-2.1044	0.81478	-0.0016938	0.01667
33	cgpGmo-S1710	0.014403	-1.8353	0.72006	-0.011628	0.016564
34	cgpGmo-S953	0.012803	-1.8871	0.74333	-0.0061913	0.016615
35	cgpGmo-S1294	0.44369	-0.098239	0.056296	0.52527	0.032139
36	cgpGmo-S839	0.0062012	-2.2048	0.84648	-0.001354	0.016661
37	cgpGmo-S376	0.015203	-1.8114	0.70052	-0.014244	0.016544
38	cgpGmo-S124	0.064213	-1.1636	0.26138	0.071985	0.018821
39	cgpGmo-S264	0.015003	-1.8173	0.70421	0.010195	0.016953
40	cgpGmo-S352	1	1000	0	1.5607	0.07144
41	cgpGmo-S228	0.0094019	-2.0227	0.78829	-0.0069043	0.016606
42	cgpGmo-S387a	0.0068014	-2.1644	0.83597	-0.0028964	0.016648
43	cgpGmo-S730	0.038408	-1.3986	0.43826	-0.048974	0.016272
44	cgpGmo-S1757	0.015403	-1.8057	0.69825	0.012345	0.017022
45	cgpGmo-S425	0.021404	-1.6601	0.61816	-0.02515	0.016462
46	cgpGmo-S866	0.0072014	-2.1394	0.8286	-0.0011279	0.016681
47	cgpGmo-S894	0.0086017	-2.0617	0.80339	-0.0047589	0.016633
48	cgpGmo-S635	0.032607	-1.4723	0.48498	-0.036699	0.01637
49	cgpGmo-S1832	0.005001	-2.2988	0.86553	-9.85E-05	0.016682
50	cgpGmo-S363	0.0088018	-2.0516	0.80048	0.0055728	0.016811
51	cgpGmo-S1658	0.0058012	-2.234	0.85399	0.0011181	0.016701
52	cgpGmo-S965	0.0068014	-2.1644	0.83597	-0.0036103	0.016643
53	cgpGmo-S2097	0.0084017	-2.072	0.80621	0.0032362	0.016753
54	cgpGmo-S698	0.012002	-1.9155	0.75379	-0.010011	0.016581
55	cgpGmo-S1693	0.0080016	-2.0933	0.81133	-0.003096	0.016656
56	cgpGmo-S2069	0.0046009	-2.3352	0.8694	0.0018176	0.016719
57	cgpGmo-S1652	0.0088018	-2.0516	0.80048	-0.0060566	0.016633
58	cgpGmo-S1672	1	1000	0	1.7221	0.081361
59	cgpGmo-S586	0.47289	-0.047133	0.042144	0.52303	0.031402
60	cgpGmo-S762	0.0060012	-2.2191	0.85079	0.0014649	0.01672
61	cgpGmo-S748	0.0092018	-2.0321	0.79264	0.0044646	0.016796
62	cgpGmo-S256	0.005201	-2.2816	0.86313	0.00062501	0.016698
63	cgpGmo-S872b	0.039008	-1.3916	0.43008	-0.049033	0.01627
64	cgpGmo-S1988	1	1000	0	2.1957	0.11708
65	cgpGmo-S1941	0.0054011	-2.2652	0.86	-0.0027128	0.01665
66	cgpGmo-S1235	0.019604	-1.6991	0.64225	-0.019135	0.016501
67	cgpGmo-S1456	0.020204	-1.6857	0.63569	0.015734	0.017071
68	cgpGmo-S1461b	0.0060012	-2.2191	0.85079	-0.0011705	0.016671
69	cgpGmo-S1538b	1	1000	0	1.3701	0.060352
70	cgpGmo-S624	0.0054011	-2.2652	0.86	-4.05E-05	0.016686
71	cgpGmo-S652	0.013203	-1.8736	0.73369	-0.01165	0.016565
72	cgpGmo-S472	0.0076015	-2.1158	0.81972	0.00017732	0.016703
73	cgpGmo-S441	0.016003	-1.7888	0.68722	-0.014525	0.016549
74	cgpGmo-S1785	0.0064013	-2.1909	0.84273	-0.0037419	0.016644
75	cgpGmo-S1997	0.013203	-1.8736	0.73369	-0.012034	0.016564
76	cgpGmo-S1365b	1	1000	0	1.5187	0.069025
77	cgpGmo-S549	0.0064013	-2.1909	0.84273	-0.004851	0.016631
78	cgpGmo-S2132	0.0072014	-2.1394	0.8286	-0.0026712	0.016655
79	cgpGmo-S2179	0.0054011	-2.2652	0.86	0.0018853	0.016722
80	cgpGmo-S1056	0.0076015	-2.1158	0.81972	0.0028443	0.016755
81	cgpGmo-S1723	0.027405	-1.5501	0.53212	-0.032213	0.0164
82	cgpGmo-S9b	0.010402	-1.9783	0.76975	-0.0062545	0.016625
83	cgpGmo-S1982	0.014403	-1.8353	0.72006	0.0081256	0.016872
84	Gm1152_0344	0.069614	-1.126	0.24227	0.072194	0.018706
85	cgpGmo-S792	0.9858	1.8414	0.0014141	1.3069	0.058136
86	cgpGmo-S2209	0.024405	-1.6018	0.57122	-0.026394	0.016454
87	cgpGmo-S532	0.0056011	-2.2493	0.85672	-0.0010837	0.016674
88	cgpGmo-S1718	0.018204	-1.7319	0.66248	0.013126	0.017004
89	cgpGmo-S718a	0.013003	-1.8803	0.73774	-0.010816	0.016575
90	cgpGmo-S449b	0.029406	-1.5186	0.5107	-0.034817	0.016374
91	cgpGmo-S242	0.0088018	-2.0516	0.80048	-0.0069379	0.016615
92	cgpGmo-S207	1	1000	0	1.8241	0.088313
93	cgpGmo-S153a	0.0084017	-2.072	0.80621	-0.0038532	0.016639
94	cgpGmo-S681b	0.0038008	-2.4185	0.87267	0.00048289	0.016696
95	cgpGmo-S942	0.0044009	-2.3545	0.87009	-0.00084697	0.016671
96	cgpGmo-S173	0.017003	-1.762	0.67708	-0.018621	0.016509
97	cgpGmo-S2072	0.011802	-1.9229	0.75677	-0.006242	0.016617
98	cgpGmo-S909	0.013803	-1.854	0.72518	-0.011974	0.016566
99	cgpGmo-S643b	0.0086017	-2.0617	0.80339	-0.0055495	0.016634
100	cgpGmo-S250	0.0056011	-2.2493	0.85672	-0.0017147	0.016663
101	Gm159_0228	0.013203	-1.8736	0.73369	-0.0095735	0.016591
102	cgpGmo-S2155	0.021004	-1.6685	0.62537	0.015794	0.017077
103	cgpGmo-S1028	0.004801	-2.3166	0.86756	-0.00025546	0.016678
104	cgpGmo-S1424b	0.0046009	-2.3352	0.8694	-0.00070067	0.016676
105	cgpGmo-S83	1	1000	0	1.6791	0.078391
106	Gm1007_0192	0.014603	-1.8292	0.71407	-0.010229	0.016586
107	cgpGmo-S1258a	0.019004	-1.7128	0.65267	0.012554	0.016993
108	cgpGmo-S1315	0.0066013	-2.1775	0.83857	0.00080277	0.016706
109	cgpGmo-S1495	0.025605	-1.5804	0.56005	0.02465	0.017376
110	cgpGmo-S596	0.0072014	-2.1394	0.8286	-0.0019761	0.016661
111	cgpGmo-S1540	0.047409	-1.303	0.36187	-0.066272	0.01615
112	cgpGmo-S997b	0.019804	-1.6946	0.639	-0.020523	0.01649
113	cgpGmo-S1308	0.012603	-1.894	0.74495	-0.010233	0.016585
114	cgpGmo-S501	0.023405	-1.6204	0.59192	0.018252	0.017155
115	cgpGmo-S1332	0.027405	-1.5501	0.53212	-0.031283	0.016398
116	cgpGmo-S1617	0.009802	-2.0044	0.77982	0.0064997	0.016837
117	cgpGmo-S2082	1	1000	0	2.8188	0.18283
118	cgpGmo-S1393a	0.0088018	-2.0516	0.80048	-0.0067438	0.016612
119	Metallo_1	0.0094019	-2.0227	0.78829	0.0041348	0.016785
120	cgpGmo-S2158	1	1000	0	1.4712	0.066291
121	cgpGmo-S985	1	1000	0	2.0457	0.1043
122	Gm240_0209	1	1000	0	2.8583	0.18768
123	cgpGmo-S1225	0.035807	-1.4302	0.46386	-0.046508	0.016283
124	cgpGmo-S285	0.0056011	-2.2493	0.85672	0.0011132	0.016706
125	cgpGmo-S1804	0.0058012	-2.234	0.85399	-0.0038467	0.016644
126	cgpGmo-S2106	0.0096019	-2.0135	0.78298	-0.0064639	0.016619
127	cgpGmo-S780	0.037808	-1.4057	0.44358	-0.047075	0.016273
128	cgpGmo-S365b	0.044809	-1.3287	0.38849	-0.060232	0.016183
129	cgpGmo-S1491c	0.012402	-1.9011	0.74867	-0.0091863	0.016598
130	cgpGmo-S646	0.074815	-1.0922	0.22733	0.073907	0.018699
131	cgpGmo-S2089	0.011202	-1.9458	0.76203	-0.0097848	0.016588
132	cgpGmo-S1316	0.014603	-1.8292	0.71407	0.010787	0.016952
133	cgpGmo-S107	0.0076015	-2.1158	0.81972	0.0022776	0.01674
134	cgpGmo-S1426	0.010602	-1.97	0.76753	-0.0058232	0.016624
135	cgpGmo-S1940	0.017003	-1.762	0.67708	-0.018432	0.01652
136	cgpGmo-S921	0.009802	-2.0044	0.77982	-0.0048076	0.016629
137	cgpGmo-S1090	0.016203	-1.7833	0.68223	0.0095689	0.016918
138	Gm0545_0279	0.027405	-1.5501	0.53212	-0.031067	0.016401
139	Gm_adcyap1b_2_1	0.0054011	-2.2652	0.86	-4.20E-05	0.016689
140	cgpGmo-S2047	0.031606	-1.4863	0.49165	0.031578	0.017594
141	cgpGmo-S687	0.035007	-1.4404	0.47109	-0.038424	0.016335
142	cgpGmo-S954	0.017403	-1.7517	0.67176	-0.016347	0.016546
143	cgpGmo-S644	0.0094019	-2.0227	0.78829	0.00072927	0.016705
144	cgpGmo-S2028	0.0042008	-2.3748	0.87078	0.00066027	0.016692
145	cgpGmo-S937	0.0078016	-2.1044	0.81478	0.00025562	0.016713
146	cgpGmo-S154	0.0078016	-2.1044	0.81478	0.0027211	0.016746
147	cgpGmo-S22b	0.023805	-1.6129	0.58331	-0.022544	0.016466
148	cgpGmo-S110	0.9912	2.0516	0.00082456	1.4082	0.063521
149	cgpGmo-S991a	0.0060012	-2.2191	0.85079	-0.0041593	0.016658
150	cgpGmo-S1906	0.94799	1.2607	0.0026872	1.1775	0.052489
151	cgpGmo-S542	0.0046009	-2.3352	0.8694	-0.00083944	0.016673
152	cgpGmo-S213	0.0040008	-2.3961	0.872	0.00056973	0.016694
153	cgpGmo-S226	0.010602	-1.97	0.76753	-0.0068273	0.016612
154	cgpGmo-S543	0.0082016	-2.0825	0.80925	-0.0021564	0.016665
155	cgpGmo-S272	0.0090018	-2.0417	0.79612	0.0047697	0.016788
156	cgpGmo-S413	0.020804	-1.6727	0.62888	-0.019865	0.016498
157	cgpGmo-S1042a	0.013403	-1.8669	0.73131	-0.013426	0.016564
158	Gm1271_0123	0.0088018	-2.0516	0.80048	-0.0058898	0.016625
159	cgpGmo-S1970	0.018404	-1.727	0.65863	-0.01828	0.016505
